SSOP,TAP,EX,PIMS Punch,SPIE,NR13,SIG,TagLines,TOOLs,TRAINING,CTO,F.Status,Primeiro Description
5124-501,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,ENGINE ROOM CENTRAL FRESH WATER SYSTEM DISTRIBUTION AND RETURN
5124-503,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,ACCOMMODATION CENTRAL FRESH WATER SYSTEM DISTRIBUTION AND RETURN
5124-504,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,FWD CENTRAL FRESH WATER SYSTEM DISTRIBUTION AND RETURN
5124-505,NOK,OK,OK,OK,OK,NOK,NOK,NOK,OK,OK,NOK,M15B CENTRAL FRESH WATER SYSTEM DISTRIBUTION AND RETURN
5133-502,NOK,OK,OK,NOK,OK,OK,OK,OK,NOK,OK,NOK,DO PURIFIER SYSTEM (SC-5133501A/B)
5133-505,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,AFT DIESEL OIL OVERFLOW SYSTEM (TQ-5133504)
5133-506,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,FWD DIESEL OIL OVERFLOW SYSTEM (B-5133506 & TQ-5133503)
5134-501,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL SERVICE AIR DISTRIBUTION FOR MAIN DECK AND FORECASTLE
5134-502,NOK,OK,OK,OK,OK,NOK,NOK,NOK,NOK,Check,NOK,HULL ESSENTIAL INSTRUMENT AIR DISTRIBUTION FOR MAIN DECK AND FORECASTLE
5134-503,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL NON-ESSENTIAL INSTRUMENT AIR DISTRIBUTION FOR MAIN DECK AND FORECASTLE
5134-509,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL SERVICE AIR DISTRIBUTION FOR ENGINE ROOM AND ACCOMODATION
5134-510,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL ESSENTIAL INSTRUMENT AIR FOR ENGINE ROOM AND ACCOMODATION
5134-511,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL NON-ESSENTIAL INSTRUMENT AIR DISTRIBUTION FOR ENGINE ROOM
5139-503,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,"HYDRAULIC OIL TRANSFER UNIT, STROAGE & DRAIN TANK (UH-5139504)"
5139-504,OK,OK,NOK,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,HYDRAULIC VALVES REMOCON SYSTEM (UH-5139501) AND DISTRIBUTION TO ER RACKS
5139-505,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,ENGINE ROOM SOLENOIDS VALVE RACK A (PN-UH-5139501-01A)
5139-506,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,ENGINE ROOM SOLENOIDS VALVE RACK B (PN-UH-5139501-01B)
5139-507,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,ENGINE ROOM SOLENOIDS VALVE RACK C (PN-UH-5139501-01C)
5139-508,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX A (PN-UH-5139501-02A)
5139-509,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX B (PN-UH-5139501-02B)
5139-510,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX C (PN-UH-5139501-02C)
5139-511,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX D (PN-UH-5139501-02D)
5139-512,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX E (PN-UH-5139501-02E)
5139-513,OK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX F (PN-UH-5139501-02F)
5139-514,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX G (PN-UH-5139501-02G)
5139-515,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,MAIN DECK CARGO AREA SOLENOIDS BOX H (PN-UH-5139501-02H)
5139-516,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,DISTRIBUTION TO MD RACKS AND MD AFT AREA SOLENOIDS BOX (PN-UH-5139501-03)
5140-501,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL ELECTRICAL SYSTEM AUTOMATION (ESA)
5143-501,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,6.6KV MV HULL MCC PN-5143510
5143-502,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Auxiliary Switchgear 690V PN-5143501
5143-503,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Auxiliary MCC 690V PN-5143502
5143-504,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Auxiliary MCC 690V PN-5143503
5143-505,NOK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Utilities/Ship Service Switchgear 690V PN-5143504
5143-506,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Utilities Ship Service MCC 690V  PN-5143505
5143-507,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Utilities/Ship Service MCC 690V PN-5143506
5143-508,NOK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Utilities/Ship Service Switchgear 690V  PN-5143507
5143-509,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Utilities/Ship Service MCC 690V PN-5143508
5143-510,OK,OK,NOK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,Low-Voltage Utilities/Ship Service MCC 690V PN-5143509
5143-511,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,Low-Voltage External Shore-Supply Box
5143-514,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION HVAC SUPPLY PANEL - PN-5143550 CIRCUITS Main Deck
5143-515,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION HVAC SUPPLY PANEL - PN-5143551 CIRCUITS Deck B
5143-516,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION HVAC SUPPLY PANEL - PN-5143552 CIRCUITS Deck C
5143-517,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION HVAC SUPPLY PANEL - PN-5143553 CIRCUITS Deck D
5143-518,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V ACCOMMODATION HVAC SUPPLY PANEL - PN-5143554 CIRCUITS Deck E
5143-519,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V GALLEY DISTRIBUTION PANEL - PN-5143535 AND GALLEY EQUIPMENT
5143-520,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V LAUNDRY DISTRIBUTION PANEL - PN-5143530  AND LAUNDRY EQUIPMENT
5143-521,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V WORKSHOP DISTRIBUTION PANEL- PN-5143536 CIRCUITS
5143-522,OK,NOK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,480V WORKSHOP DISTRIBUTION PANEL - PN-5143521 CIRCUITS
5143-523,OK,OK,NOK,OK,OK,NOK,OK,NOK,OK,OK,NOK,480V  SOCKET FROM NORMAL POWER PN-5143511
5143-524,OK,OK,OK,OK,OK,OK,OK,NOK,OK,OK,NOK,480V  SOCKET FROM NORMAL POWER PN-5143512
5143-525,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL TRANSFORMER 13.8-6.6KV  TF-5143501A
5143-526,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL TRANSFORMER 13.8-6.6KV  TF-5143501B
5143-527,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL TRANSFORMER 13.8-0.69-0.69KV TF-5143502A
5143-528,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL TRANSFORMER 13.8-0.69-0.69KV TF-5143502B
5143-529,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL TRANSFORMER 13.8-0.69-0.69KV TF-5143503A
5143-530,NOK,OK,OK,OK,OK,OK,OK,NOK,NOK,OK,NOK,HULL TRANSFORMER 13.8-0.69-0.69KV TF-5143503B
5143-531,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL NORMAL TRANSFORMER 690-220V TF-5143520A
5143-532,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,HULL NORMAL TRANSFORMER 690-220V TF-5143520B
5143-533,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,ACCOMMODATION NORMAL TRANSFORMER 690-220V TF-5143521A
5143-534,OK,OK,OK,OK,OK,NOK,OK,NOK,NOK,OK,NOK,ACCOMMODATION NORMAL TRANSFORMER 690-220V TF-5143521B
5143-536,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL SPACE HEATERS DISTRIBUTION PANEL - PN-5143533 CIRCUITS
5143-537,OK,OK,OK,OK,OK,NOK,OK,NOK,OK,OK,NOK,220V HULL SPACE HEATERS DISTRIBUTION PANEL - PN-5143534 CIRCUITS
